doc_id,posting_date,account,amount_usd,description,source_system,vendor_invoice_ref,customer_ref,entity_id
CLR-2024-024,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-025,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-026,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-027,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-028,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-029,2024-03-11,1900,14714.23,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-030,2024-06-30,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-031,2024-07-31,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-032,2024-08-31,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-033,2024-09-30,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-034,2024-10-31,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-035,2024-11-30,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-036,2024-12-31,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2025-037,2025-01-31,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2025-038,2025-02-28,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2025-039,2025-03-31,1900,26363.64,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2025-040,2025-04-30,1900,26363.60,IC margin plug - unexplained variance,GL_ADJ,,,ENT-IN-02
CLR-2024-041,2024-08-15,1900,87666.67,CUST-4471 invoicing ceased mid-contract,AR_STOP,,CUST-4471,ENT-IN-02
CLR-2024-042,2024-09-15,1900,87666.67,CUST-4471 invoicing ceased mid-contract,AR_STOP,,CUST-4471,ENT-IN-02
CLR-2024-043,2024-10-15,1900,87666.66,CUST-4471 invoicing ceased mid-contract,AR_STOP,,CUST-4471,ENT-IN-02
CLR-2023-044,2023-08-14,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2023-045,2023-11-22,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2024-046,2024-01-19,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2024-047,2024-04-27,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2024-048,2024-05-30,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2024-049,2024-07-18,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2024-050,2024-09-09,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2024-051,2024-11-11,1900,7666.66,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2025-052,2025-01-05,1900,7666.66,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2025-053,2025-02-14,1900,7666.66,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2025-054,2025-03-21,1900,7666.66,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
CLR-2025-055,2025-04-02,1900,7666.67,Unresolved variance - no supporting detail,UNKNOWN,,,ENT-IN-02
